"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.878",6200,5956,4826,3436,1637,4174,4255,3364,2575,1633
"MSTRG.879",946,943,1083,803,483,656,886,830,850,338
"MSTRG.880",1658,1358,1377,1211,800,1353,1293,1167,1048,746
"MSTRG.881",0,0,0,0,1,0,5,2,0,0
"MSTRG.882",0,1,0,1,1,16,29,35,18,2
"MSTRG.883",1677,1683,1836,1860,1730,1844,2022,1903,1979,1608
"MSTRG.884",54,60,51,44,33,31,44,75,42,22
"MSTRG.885",1,0,0,0,0,1,0,0,0,0
"MSTRG.886",20,15,21,8,19,8,9,6,5,8
"MSTRG.887",46,59,60,52,52,47,75,45,57,57
"MSTRG.888",1688,2637,3274,4702,3978,2305,3424,5287,4822,1480
"MSTRG.889",49,74,36,57,67,50,63,104,76,87
"MSTRG.890",1459,1372,1377,1316,1058,1186,1192,1840,1216,976
"MSTRG.891",78,96,109,159,329,73,86,159,123,189
"MSTRG.892",0,0,0,0,1,0,0,0,0,0
"MSTRG.893",9,6,3,11,7,6,10,12,6,8
"MSTRG.894",0,0,0,1,1,0,0,0,2,1
"MSTRG.895",3897,4013,3511,3906,2864,3533,3501,4343,4048,2387
"MSTRG.896",667,654,579,446,295,468,546,348,473,242
"MSTRG.897",20,17,19,14,14,16,15,27,9,10
"MSTRG.898",24,29,14,19,13,17,25,19,20,6
"MSTRG.899",845,945,912,859,849,638,904,932,856,567
"MSTRG.900",29,44,56,53,68,33,58,94,65,127
"MSTRG.901",933,817,871,819,830,973,724,1264,816,879
"MSTRG.902",355,330,320,296,110,232,334,247,281,126
"MSTRG.903",53,53,21,21,6,67,48,15,16,2
"MSTRG.904",1416,1328,1228,1081,1136,1310,1365,1259,1298,878
"MSTRG.905",2,5,1,2,0,0,0,0,3,3
"MSTRG.906",2,21,1,3,0,3,19,1,0,2
"MSTRG.907",1,2,0,0,0,0,1,0,0,0
"MSTRG.908",6,7,3,0,1,1,1,3,2,1
"MSTRG.909",24,29,51,30,16,46,44,33,20,32
"MSTRG.910",60,54,76,36,35,81,71,74,44,51
"MSTRG.911",162,127,123,124,130,294,266,315,261,246
"MSTRG.912",1,2,3,5,16,1,4,2,11,25
"MSTRG.913",6,6,8,4,7,4,8,5,7,5
"MSTRG.914",187,201,290,306,506,355,354,328,431,535
"MSTRG.915",90,99,95,144,147,154,150,126,189,188
"MSTRG.916",1122,1069,1075,1241,885,1488,1249,1299,1341,1253
"MSTRG.917",6059,6684,7276,4971,3324,12006,9894,10615,6992,3131
"MSTRG.918",764,867,687,717,378,1070,978,772,870,696
"MSTRG.919",267,233,193,172,81,281,171,162,123,129
"MSTRG.920",912,786,949,933,1300,872,747,1259,911,1305
"MSTRG.921",1050,893,769,692,398,874,720,579,638,540
"MSTRG.922",9,7,10,16,39,8,14,2,11,9
"MSTRG.923",212,362,450,648,1394,284,525,852,904,1166
"MSTRG.924",0,0,0,0,1,0,0,1,0,1
"MSTRG.925",1,0,0,0,1,0,0,0,0,0
"MSTRG.926",1298,1070,1163,860,779,880,1111,414,1005,543
"MSTRG.927",0,1,0,0,0,0,0,0,1,0
"MSTRG.928",307,240,209,201,181,230,194,184,213,106
"MSTRG.929",16,17,20,11,8,17,20,4,8,6
"MSTRG.930",1291,1035,1119,945,1604,1231,884,465,788,1846
"MSTRG.931",6,5,4,7,6,9,13,9,8,8
"MSTRG.932",0,0,0,0,0,0,0,1,0,1
"MSTRG.933",3,4,2,11,10,7,4,10,15,19
"MSTRG.934",1478,1005,1092,1248,927,1265,973,1015,1120,978
"MSTRG.935",0,0,0,0,0,0,0,0,0,0
"MSTRG.936",323,242,232,280,103,291,253,168,259,135
"MSTRG.937",0,0,0,0,0,0,0,0,0,0
"MSTRG.938",4,3,5,8,6,12,1,5,5,4
"MSTRG.939",3,6,3,8,4,8,2,6,8,1
"MSTRG.940",335,488,425,560,383,393,492,819,506,209
"MSTRG.941",18,21,13,22,14,13,33,12,24,28
"MSTRG.942",11,8,9,10,5,19,19,11,13,3
"MSTRG.943",244,214,349,449,594,541,341,647,750,426
"MSTRG.944",0,1,0,0,0,0,0,0,0,0
"MSTRG.945",405,394,508,554,993,789,688,574,899,525
"MSTRG.946",2,0,3,2,3,5,0,3,3,0
"MSTRG.947",1,0,1,7,3,3,4,2,9,4
"MSTRG.948",12,6,2,3,1,5,4,0,2,2
"MSTRG.949",0,0,0,0,0,0,0,0,0,0
"MSTRG.950",0,0,0,0,0,0,0,0,0,0
"MSTRG.951",15,21,19,9,15,12,15,17,17,16
"MSTRG.952",75,58,54,44,28,79,66,35,44,58
"MSTRG.953",6,13,13,10,19,10,8,5,8,3
"MSTRG.954",28,35,15,24,31,47,40,7,35,116
"MSTRG.955",1248,939,991,1077,1006,974,819,1009,968,619
"MSTRG.956",13,11,8,11,2,12,10,8,8,15
"MSTRG.957",10,5,6,29,11,10,4,7,6,10
"MSTRG.958",220,156,140,83,123,160,104,60,98,463
"MSTRG.959",86,65,53,28,23,57,55,37,44,194
"MSTRG.960",0,1,0,1,0,0,0,0,0,1
"MSTRG.961",1,2,2,0,2,1,0,0,0,2
"MSTRG.962",643,582,916,1153,2032,562,719,537,1346,2100
"MSTRG.963",0,0,0,0,0,0,0,0,0,0
"MSTRG.964",879,799,810,586,814,748,644,484,497,763
"MSTRG.965",7,2,1,4,21,0,1,0,8,25
